"","Diplomatic","Economic","Military","Cultural","Disasters","Domestic","Obituaries","Sports","Weddings"
"(Intercept)",1.48240893667561,0.809621653135329,0.0634663217780196,0.34485417701751,-1.57563604546755,1.36497971799052,-1.03692012037618,0.214969843281498,-1.66774448403476
"democrat",0,0,0,0,0,0.0109849353656822,0,0,0
"vote",0,0,0,0,0,0.288388441113067,0,0,0
"trade",0,0.65738750228923,0,0,0,0,0,0,0
"secretari",0.203644361226701,0,0,0,0,0,0,0,0
"ton.ya",0,0,0,0.447539133776267,0,0,0,0,0
"tonya",0,0,0,0.000179084240270082,0,0,0,0,0
"relat",0.124311738355787,0,0,0,0,0,0,0,0
"competit",0,0,0,0,0,0,0,0.242425888884846,0
"golfer",0,0,0,0,0,0,0,1.12146597780838,0
"profession",0,0,0,0,0,0,0,0.00256532047460829,0
"lineup",0,0,0,1.23278218624209,0,0,0,0,0
"film",0,0,0,0.0421742809274992,0,0,0,0,0
"polit",0,0,0,0,0,0.457824849950178,0,0,0
"iraq",0,0,0.360218024356576,0,0,0,0,0,0
"like",0,0,0,0.256296397484044,0,0,0,0,0
"call",0,0,0,0,0,0.0208410970641139,0,0,0
"love",0,0,0,0.61652294498362,0,0,0,0,0
"today",0.110664351969088,0,0,0,0,0,0,0,0
"play",0,0,0,0.360379696133748,0,0,0,0,0
"minist",0.42351788629587,0,0,0,0,0,0,0,0
"law",0,0,0,0,0,0.0335399602908484,0,0,0
"rule",0,0,0,0,0,0.20645299394721,0,0,0
"charg",0,0,0,0,0,0.00638227694200875,0,0,0
"occup",0.848799896851407,0,0,0,0,0,0,0,0
"famili",0,0,0,0.156738386646203,0,0,0,0,0
"governor",0,0,0,0,0,0.278826626580381,0,0,0
"forc",0,0,0.387027504554722,0,0,0,0,0,0
"year",0,0,0,0.125508791331159,0,0,0,0,0
"mexican",0.097966223339056,0,0,0,0,0,0,0,0
"citi",0,0,0,0,0,0.000681179382225267,0,0,0
"right",0.027010616888298,0,0,0,0,0,0,0,0
"avenu",0,0,0,0.323533205623419,0,0,0,0,0
"album",0,0,0,1.39652888455738,0,0,0,0,0
"gov",0,0,0,0,0,1.19963944458063,0,0,0
"sudden",0,0,0,0,0,0.928996307948894,0,0,0
"attack",0,0,0.569360468598702,0,0,0,0,0,0
"die",0,0,0,0,0,0,1.68229617342858,0,0
"sister",0,0,0,0,0,0,2.68678929740478,0,0
"visit",0.317918779521498,0,0,0,0,0,0,0,0
"vacat",0,0,0,0.154568498128392,0,0,0,0,0
"open",0,0,0,0.304570729935012,0,0,0,0,0
"white",0,0,0,0.300077419368963,0,0,0,0,0
"general",0,0,0,0,0,0.0819034253825416,0,0,0
"devot",0,0,0,0,0,0,3.32037356304435,0,0
"belov",0,0,0,0,0,0,8.96421168533535e-15,0,0
"unit",0.0193003393008554,0,0,0,0,0,0,0,0
"front",0,0,0.735609729426825,0,0,0,0,0,0
"parti",0,0,0,0,0,0.2905260376304,0,0,0
"accus",0,0,0,0,0,0.0202545830267778,0,0,0
"wine",0,0,0,0,0,0.670480749194244,0,0,0
"compani",0,0.09527539413709,0,0,0,0,0,0,0
"corpor",0,0.0324401037823884,0,0,0,0,0,0,0
"price",0,0.586854660303507,0,0,0,0,0,0,0
"continent",0,0.640433610507761,0,0,0,0,0,0,0
"plant",0,0.141454225315081,0,0,0,0,0,0,0
"yesterday",-0.0646250675359213,0,0,0,0,0,0,0,0
"export",0,0.207341262034283,0,0,0,0,0,0,0
"nation",0.0507885487379911,0,0,0,0,0,0,0,0
"measur",0.27596272306768,0,0,0,0,0,0,0,0
"stronger",0.245522184777054,0,0,0,0,0,0,0,0
"polic",0,0,0,0,0,0.860822286008292,0,0,0
"worker",0,0.364128913652436,0,0,0,0,0,0,0
"billion",0,0.18930771703877,0,0,0,0,0,0,0
"dollar",0,0.272718537616324,0,0,0,0,0,0,0
"persuad",0,0.359063846038639,0,0,0,0,0,0,0
"emeritus",0,0,0,0,0,0,2.62717842382138,0,0
"peac",0.322876968950179,0,0,0,0,0,0,0,0
"graduat",0,0,0,0,0,0,0,0,0.811254336114364
"u.",0.0342995400715093,0,0,0,0,0,0,0,0
"jacki",0,0,0,0.0010846783890829,0,0,0,0,0
"rosenberg",0,0,0,8.33898819066891e-15,0,0,0,0,0
"ca",0,0,0,1.51617967103071e-15,0,0,0,0,0
"econom",0,0.24195181583646,0,0,0,0,0,0,0
"form",0,0,0,0,0,0.86190319040365,0,0,0
"elect",0,0,0,0,0,0.160227860017992,0,0,0
"weak",0,0,0,0,0,0.0197573210500606,0,0,0
"save",0,0,0,0,0,0.80063556423119,0,0,0
"qualifi",0,0,0,0,0,0,0,0.0334836411084675,0
"import",0,0.0790107544019474,0,0,0,0,0,0,0
"base",0,0,0.0599592546942421,0,0,0,0,0,0
"field",0,0,0,0,0,0,0,1.25835928639659,0
"diplomat",0.748393247803226,0,0,0,0,0,0,0,0
"beach",0,0,0,2.14817737035777,0,0,0,0,0
"hazard",0,0,0,0,0,0.0944181310222376,0,0,0
"legisl",0,0,0,0,0,0.377200268125658,0,0,0
"alli",0.0999249487886976,0,0,0,0,0,0,0,0
"olymp",0,0,0,0,0,0,0,0.467187735232548,0
"detect",0.647191626282496,0,0,0,0,0,0,0,0
"store",0,0,0,0.276238121555974,0,0,0,0,0
"hofman.jason",0,0,0,0,0,0,1.86187733310103,0,0
"deepest",0,0,0,0,0,0,0.000253035291595256,0,0
"sympathi",0,0,0,0,0,0,7.57754130093101e-15,0,0
"view",0,0,0,0,0,0.187025084867633,0,0,0
"radio",0,0,0.468987819230221,0,0,0,0,0,0
"feder",0,0,0,0,0,0.489544033883632,0,0,0
"becom",0,0,0,0,0,0.27036394414093,0,0,0
"win",0,0,0,0,0,0,0,0.762704425074499,0
"birth",0,0,0,0,0,0.723345342719848,0,0,0
"england",-0.0160311045068595,0,0,0,0,0,0,0,0
"befor",0,0,0,0,0,0.014760746670462,0,0,0
"examin",0,0,0,0,0,0.1768468817759,0,0,0
"compar",0,0.584682292380539,0,0,0,0,0,0,0
"rate",0,0.696799492199153,0,0,0,0,0,0,0
"except",0,0,0,0,0,0.370128097663162,0,0,0
"temperatur",0,0,0,0,0,0.820274835257697,0,0,0
"per",0,0.576099270642902,0,0,0,0,0,0,0
"billboard",0,0,0,0.753836164900709,0,0,0,0,0
"teenag",0,0,0,0.322957012607989,0,0,0,0,0
"erot",0,0,0,0.345495250058962,0,0,0,0,0
"life",0,0,0,0.890465236814813,0,0,0,0,0
"marri",0,0,0,0,0,0,0,0,3.67739000013108
"bride",0,0,0,0,0,0,0,0,0.834654835303701
"practic",0,0,0,0,0,0,0,0.555218074428298,0
"race",0,0,0,0,0,0,0,0.724211523042331,0
"corrupt",0,0,0,0,0,0.0702922661023624,0,0,0
"zaccaro",0,0,0,0,0,0,0.629933658508526,0,0
"bartend",0,0,0,0,0,0,3.83587859537937e-13,0,0
"jennif",0,0,0,0,0,0,0.00018070583960939,0,0
"second",0,0,0,0,0,0,0,0.0713394260243004,0
"art",0,0,0,0.671869554738403,0,0,0,0,0
"swim",0,0,0,0,0,0,0,0.813053945741737,0
"network",0,0,0,0.000160965337332122,0,0,0,0,0
"bank",0,0.333557373659864,0,0,0,0,0,0,0
"treati",0.805847085277309,0,0,0,0,0,0,0,0
"russian",0.73724052719794,0,0,0,0,0,0,0,0
"write",0,0,0,0,0,0.162752674470963,0,0,0
"man",0,0,0,0.639241508884488,0,0,0,0,0
"autumn",0,0,0,0.358513827075901,0,0,0,0,0
"pictur",0,0,0,0.261018289774066,0,0,0,0,0
"footbal",0,0,0,0,0,0,0,1.74291054968841,0
"silverman",0,0,0,0,0,0,0.0963031793212478,0,0
"livingston",0,0,0,0,0,0,4.55089256554501e-15,0,0
"sport",0,0,0,0,0,0,0,1.22053557031087,0
"steroid",0,0,0,0,0,0,0,0.219055670729665,0
"stood",0,0,0,0,0,0.303670510653073,0,0,0
"enforc",0,0,0,0,0,0.480277939147392,0,0,0
"deterior",0,0.152162860779683,0,0,0,0,0,0,0
"serv",0,0,0,0.271932183649817,0,0,0,0,0
"movi",0,0,0,1.12991088167639,0,0,0,0,0
"reserv",0,0.387703875715661,0,0,0,0,0,0,0
"point",0.446975617284161,0,0,0,0,0,0,0,0
"rudolph",0,0,0,0,0,0.253700331218041,0,0,0
"militari",0,0,0.490350971438341,0,0,0,0,0,0
"instal",0,0,0,1.19863504239004,0,0,0,0,0
"sunni",0,0,0,0.540672182412691,0,0,0,0,0
"chore",0,0,0,0.503272825703364,0,0,0,0,0
"columbia",0,0,0,0,0,0,0,0.475636249777006,0
"bomber",0,0,0.261347033271059,0,0,0,0,0,0
"flow",0,0,0,0.09569649475055,0,0,0,0,0
"bowersock.jeffrey",0,0,0,0,0,0,1.87830762548308,0,0
"christin",0,0,0,0,0,0,1.81861878201837e-14,0,0
"british",0,0,0.0258780833666748,0,0,0,0,0,0
"judgment",0,0,0,0.890275676370077,0,0,0,0,0
"sale",0,0.459417477154146,0,0,0,0,0,0,0
"cent",0,0.076442549133227,0,0,0,0,0,0,0
"season",0,0,0,0.00402503948911219,0,0,0,0,0
"umpir",0,0,0,0,0,0,0,1.06757910163805,0
"drill",0,0,0,0,0,0,0,0.621917790998308,0
"carol",0,0,0,0,0,0,0.580566914214124,0,0
"novelist",0,0,0,0,0,0,6.06172830622313e-15,0,0
"illumin",0,0,0,0,0,0,0.000128888228759975,0,0
"ordinari",0,0,0,0,0,0,1.51543207655578e-15,0,0
"canada",0,0.501745589159894,0,0,0,0,0,0,0
"peter",0,0,0,0,0,0,0,0.29793927009337,0
"custom.hous",0,0,0,0.400953022412962,0,0,0,0,0
"lenient",0,0,0,5.14755266287128e-14,0,0,0,0,0
"ireland",0,0,0,0,0,0.296975491414221,0,0,0
"cruiser",0,0,0.0017785003112194,0,0,0,0,0,0
"no_abstract",0,0.447997454667808,0,-0.157120970168609,0,0,0,0,0
"pari",0.0672973669759197,0,0,0,0,0,0,0,0
"artist",0,0,0,1.50868748302046,0,0,0,0,0
"invas",0,0,0.441810992853742,0,0,0,0,0,0
"resolut",0.314649011760102,0,0,0,0,0,0,0,0
"prosper",0,0.604485509080597,0,0,0,0,0,0,0
"korea",0.152481189140198,0,0,0,0,0,0,0,0
"shanghai",0.291346598328462,0,0,0,0,0,0,0,0
"warship",0,0,1.91138925916898,0,0,0,0,0,0
"ex.presid",0.384351172527964,0,0,0,0,0,0,0,0
"nationalist",0.189478191343251,0,0,0,0,0,0,0,0
"sum",0,0,0,0,0,0.343894272363269,0,0,0
"shellfish",0,0,0,0,1.20276817927572,0,0,0,0
"scare",0,0,0,0,6.97189105069187e-14,0,0,0,0
"godfrey",0,0,0,0,0.000737519898619358,0,0,0,0
"signer",0,0,0,0.252866847862428,0,0,0,0,0
"augusta",0,0,0,1.25707983399099e-13,0,0,0,0,0
"granit",0,0,0,1.56270667844779e-05,0,0,0,0,0
"project",0,1.05139136759079,0,0,0,0,0,0,0
"loan",0,1.0334585570015,0,0,0,0,0,0,0
"particip",0.417676243670943,0,0,0,0,0,0,0,0
"banker",0,0.401245486050609,0,0,0,0,0,0,0
"interest",0,0.075636236399399,0,0,0,0,0,0,0
"statu",0.0946243467367028,0,0,0,0,0,0,0,0
"us",0.768887289121007,0,0,0,0,0,0,0,0
"cup",0,0,0,0,0,0,0,0.650638300506299,0
"team",0,0,0,0,0,0,0,0.884803755044447,0
"match",0,0,0,0,0,0,0,0.740786330374511,0
"preced",0,0,0,0.405024507801927,0,0,0,0,0
"supplement",0,0,0,1.81674708669727e-14,0,0,0,0,0
"page",0,0,0,1.51395590558106e-15,0,0,0,0,0
"karl",0,0,0.783959694187323,0,0,0,0,0,0
"smallpo",0,0,0,0,2.47980484118209,0,0,0,0
"vaccin",0,0,0,0,0.000542193258069547,0,0,0,0
"franci",0,0,0,0,0,0.647288926505191,0,0,0
"whitlock",0,0,0.266968626688262,0,0,0,0,0,0
"empir",0.386638471984194,0,0,0,0,0,0,0,0
"democraci",0.342762466939559,0,0,0,0,0,0,0,0
"disadvantag",0.253552875965691,0,0,0,0,0,0,0,0
"wilson",0.0360250661399584,0,0,0,0,0,0,0,0
"repair",0,0.818393589736368,0,0,0,0,0,0,0
"soviet",0.142445565420696,0,0,0,0,0,0,0,0
"demonstr",0,0,0,0,0,0.141024755179825,0,0,0
"guard",0,0,0,0,0,0.349928137611945,0,0,0
"moscow",0.510028765268109,0,0,0,0,0,0,0,0
"cub",0,0,0,0,0,0,0,0.791716088299536,0
"expuls",0.551623936070095,0,0,0,0,0,0,0,0
"arm",0.142439357053255,0,0,0,0,0,0,0,0
"confer",0.528480056639165,0,0,0,0,0,0,0,0
"neutral",0.241819584342822,0,0,0,0,0,0,0,0
"compet",0,0,0,0,0,0,0,0.672540559519926,0
"championship",0,0,0,0,0,0,0,1.27400173815573,0
"cornel",0,0,0,0,0,0,0,0.275286166811766,0
"henderson",0,0,0.785725154370406,0,0,0,0,0,0
"tariff",0,0.126003998148264,0,0,0,0,0,0,0
"wed",0,0,0,0,0,0,0,0,0.204592156698608
"output",0,1.16808504261698,0,0,0,0,0,0,0
"valu",0,0.146150517984917,0,0,0,0,0,0,0
"fairbank",0,0,0,0,0,0,0,0.656452038777914,0
"vault",0,0,0,0,0,0,0,4.84569363312641e-14,0
"pickford",0,0,0,0,0,0,0,6.80848099848594e-06,0
"patron",0,0,0,0.850967266376537,0,0,0,0,0
"ltd",0,0.120324038722893,0,0,0,0,0,0,0
"compulsori",0,0,0.929336086378881,0,0,0,0,0,0
"coal",0,0.0714180833708456,0,0,0,0,0,0,0
"optimist",0,0.594903737137915,0,0,0,0,0,0,0
"arc",0,0,0,0.651903133056646,0,0,0,0,0
"shipment",0,0.708193701365746,0,0,0,0,0,0,0
"taitowi",0,0,0.216477603266251,0,0,0,0,0,0
"tsienan",0,0,6.06038068456035e-15,0,0,0,0,0,0
"prohibit",0,0,0,0,0,0.61017590760928,0,0,0
"basketbal",0,0,0,0,0,0,0,0.175226741510845,0
"machineri",0,0.0820256344237614,0,0,0,0,0,0,0
"industrialist",0,1.32700755501904,0,0,0,0,0,0,0
"specif",0,0,2.24639737986737,0,0,0,0,0,0
"player",0,0,0,0.531773648413334,0,0,0,0,0
"slovak",0,0,0.116360863057291,0,0,0,0,0,0
"cede",0,0,7.35405398342952e-13,0,0,0,0,0,0
"budapest",0,0,1.51629979039784e-15,0,0,0,0,0,0
"reject",0.27700912743897,0,0,0,0,0,0,0,0
"envoy",1.31758470376036,0,0,0,0,0,0,0,0
"tactic",0,0,0.790865640978892,0,0,0,0,0,0
"blame",0,0,0,0,0,0.542153296786906,0,0,0
"satisfact",0.0498248658043575,0,0,0,0,0,0,0,0
"advisori",0.278261811582568,0,0,0,0,0,0,0,0
"u.n",1.02444408820283,0,0,0,0,0,0,0,0
"jail",0.0671462173312654,0,0,0,0,0,0,0,0
"lodg",0.291273870952427,0,0,0,0,0,0,0,0
"eye",0,0,0,1.53983833462325,0,0,0,0,0
"ceremoni",0,0,0,0,0,0,0,0,0.70790117834177
"survivor",0,0,0,0,2.06063662728419,0,0,0,0
"brazilian",0,0,0,0,0.384522397154102,0,0,0,0
"rainswept",0,0,0,0,1.18251192901702e-13,0,0,0,0
"nova",0,0,0,0,1.5160409346372e-15,0,0,0,0
"troop",0,0,0.321455839982771,0,0,0,0,0,0
"beat",0,0,0,0,0,0,0,0.854833107357079,0
"intrus",0,0,0.831334230010693,0,0,0,0,0,0
"intrud",0,0,8.02542193754191e-14,0,0,0,0,0,0
"three.mil",0,0,0.000306302315444806,0,0,0,0,0,0
"cordier",0,0,0,0,0,0,0,0.146720847458428,0
"victor",0,0,0,0,0,0,0,0.631552393705672,0
"frigat",0,0,0.37285920605498,0,0,0,0,0,0
"trawler",0,0,8.85810205267216e-05,0,0,0,0,0,0
"paint",0,0,0,0.302636189796142,0,0,0,0,0
"human",0.0419463393256817,0,0,0,0,0,0,0,0
"australian",0,0,0,0,0,0,0,0.750326924697586,0
"libel",0,0,0,0,0,0.199360932353726,0,0,0
"trinidad",0,0,0,0,0,0,0,0.622349601088938,0
"foundat",0,0,0,0.601455169542667,0,0,0,0,0
"anticip",0,0,2.2453586413361,0,0,0,0,0,0
"cholera",0,0,0,0,2.4803352110928,0,0,0,0
"peru.",0,0.793145897579169,0,0,0,0,0,0,0
"reinforc",0,0,1.2112421294336,0,0,0,0,0,0
"thaw",0,0,0,0,0,0,0.249834165925073,0,0
"settlement",0.097467859352154,0,0,0,0,0,0,0,0
"convoy",0,0,0.926028441188582,0,0,0,0,0,0
"u.boat",0,0,0.785696838711706,0,0,0,0,0,0
"mobil",0,0,0.124411143060214,0,0,0,0,0,0
"sweden.",0,0,9.40656147578609e-14,0,0,0,0,0,0
"kenya",0,0,0,0,0,0.130173626490087,0,0,0
"chanc",0.604727835367367,0,0,0,0,0,0,0,0
"dwindl",0,0,0,0,0,0.623540601713218,0,0,0
"state.",0,0,0,0,0,0.539426866012481,0,0,0
"accur",0,0,0,0,2.745518326946,0,0,0,0
"somewher",0,0,2.17893892907209,0,0,0,0,0,0
"johannesburg",0,0,0,0,0,0.993422576840781,0,0,0
"salvationist",0,0,0,0,0,0,0,0,0.956400851121021
"saturnia",0,0,0,0,0,0,0,0,2.37395815616219
"reg",0,0,0,0,0,0,0,0.350772903309036,0
"pat",0,0,0,0,0,0,0,0.0014218212696874,0
"loos",0,0,0.395257328601221,0,0,0,0,0,0
"steadili",0,0,9.69663209265484e-14,0,0,0,0,0,0
"coral",0,0,4.54529629343196e-15,0,0,0,0,0,0
"discov",0.109502075483155,0,0,0,0,0,0,0,0
"hut",0,0,0,0,2.48031857232007,0,0,0,0
"someon",0,0,0,0.425311171085256,0,0,0,0,0
"miniatur",0,0,0,4.08856544986634e-14,0,0,0,0,0
"incred",0,0,0,6.52506498526127e-07,0,0,0,0,0
"resolv",0.239030063714598,0,0,0,0,0,0,0,0
