010	Make statement
011	Decline comment
012	Make pessimistic comment
013	Make optimistic comment
014	Consider policy option
015	Acknowledge or claim responsibility
016	Deny responsibility
017	Engage in symbolic act
018	Make empathetic commment
019	Express accord
020	Make an appeal or request
021	Appeal for material cooperation
0211	Appeal for economic cooperation
0212	Appeal for military cooperation
022	Appeal for diplomatic cooperation (such as policy support)
023	Appeal for aid
0231	Appeal for economic aid
0232	Appeal for military aid
0233	Appeal for humanitarian aid
0234	Appeal for military protection or peacekeeping
024	Appeal for political reform
0241	Appeal for change in leadership
0242	Appeal for policy change
0243	Appeal for rights
0244	Appeal for change in institutions, regime
025	Appeal for target to yield
0251	Appeal for easing of administrative sanctions
0252	Appeal for easing of popular dissent
0253	Appeal for release of persons or property
0254	Appeal for easing of economic sanctions, boycott, or embargo
0255	Appeal for target to allow international involvement (non-mediation)
0256	Appeal for de-escalation of military engagement
026	Appeal to others to meet or negotiate
027	Appeal to others to settle dispute
028	Appeal to engage mediation
030	Express intent to cooperate
031	Agree to engage in material cooperation
0311	Express intent to cooperate economically
0312	Express intent to cooperate militarily
032	Express intent to engage in diplomatic cooperation (such as policy support)
033	Express intent to provide material aid
0331	Express intent to provide economic aid
0332	Express intent to provide military aid
0333	Express intent to provide humanitarian aid
0334	Express intent to provide military protection or peacekeeping
034	Express intent to bring political reform
0341	Express intent to change leadership
0342	Express intent to change policy
0343	Express intent to provide rights
0344	Express intent to change institutions, regime
035	Express intent to yield
0351	Express intent to ease administrative sanctions
0352	Express intent to ease popular dissent
0353	Express intent to release persons or property
0354	Express intent to ease economic sanctions, boycott, embargo
0355	Express intent to allow international involvement (non-mediation)
0356	Express intent to de-escalate military engagement
036	Express intent to meet or negotiate
037	Express intent to settle dispute
038	Express intent to accept mediation
039	Express intent to mediate
040	Consult
041	Discuss by telephone
042	Make a visit
043	Host a visit
044	Meet at a “third” location
045	Engage in mediation
046	Engage in negotiation
050	Engage in diplomatic cooperation
051	Praise or endorse
052	Defend verbally
053	Rally support on behalf of
054	Grant diplomatic recognition
055	Apolgize
056	Forgive
057	Sign formal agreement
060	Engage in material cooperation
061	Cooperate economically
062	Cooperate militarily
063	Engage in judicial cooperation
064	Share intelligence or information
070	Provide aid
071	Provide economic aid
072	Provide military aid
073	Provide humanitarian aid
074	Provide military protection or peacekeeping
075	Grant asylum
080	Yield
081	Ease administrative sanctions
0811	Ease restrictions on freedoms of expression
0812	Ease ban on political parties or politicians
0813	Ease curfew
0814	Ease state of emergency or martial law
082	Ease political dissent
083	Accede to requests or demands for political reform
0831	Accede to demands for change in leadership
0832	Accede to demands for change in policy
0833	Accede to demands for rights
0834	Accede to demands for change in institutions, regime
084	Return, release
0841	Return, release person(s)
0842	Return, release property
085	Ease economic sanctions, boycott, embargo
086	Allow international involvement
0861	Receive deployment of peacekeepers
0862	Receive inspectors
0863	Allow delivery of humanitarian aid
087	De-escalate military engagement
0871	Declare truce, ceasefire
0872	Ease military blockade
0873	Demobilize armed forces
0874	Retreat or surrender militarily
090	Investigate
091	Investigate crime, corruption
092	Investigate human rights abuses
093	Investigate military action
094	Investigate war crimes
100	Demand
101	Demand material cooperation
1011	Demand economic cooperation
1012	Demand military cooperation
102	Demand diplomatic cooperation (such as policy support)
103	Demand aid
1031	Demand economic aid
1032	Demand military aid
1033	Demand humanitarian aid
1034	Demand military protection or peacekeeping
104	Demand political reform
1041	Demand change in leadership
1042	Demand policy change
1043	Demand rights
1044	Demand change in institutions, regime
105	Demand that target yields
1051	Demand easing of adminstrative sanctions
1052	Demand easing of popular dissent
1053	Demand release of persons or property
1054	Demand easing of economic sanctions, boycott, or embargo
1055	Demand that target allows international involvement (non-mediation)
1056	Demand de-escalation of military engagement
106	Demand meeting, negotiation
107	Demand settling of dispute
108	Demand mediation
110	Disapprove
111	Criticize or denounce
112	Accuse
1121	Accuse of crime, corruption
1122	Accuse of human rights abuses
1123	Accuse of aggression
1124	Accuse of war crimes
1125	Accuse of espionage, treason
113	Rally opposition against
114	Complain officially
115	Bring lawsuit against
120	Reject
121	Reject material cooperation
1211	Reject economic cooperation
1212	Reject military cooperation
122	Reject request or demand for material aid
1221	Reject demand for economic aid
1222	Reject demand for military aid
1223	Reject demand for humanitarian aid
1224	Reject demand for military protection or peacekeeping
123	Reject request or demand for political reform
1231	Reject demand for change in leadership
1232	Reject demand for policy change
1233	Reject demand for rights
1234	Reject demand for change in institutions, regime
124	Decline to yield
1241	Decline to ease administrative sanctions
1242	Decline to ease popular dissent
1243	Decline to release persons or property
1244	Decline to ease economic sanctions, boycott, or embargo
1245	Decline to allow international involvement (non-mediation)
1246	Decline to de-escalate military engagement
125	Reject proposal to meet, discuss, negotiate
126	Reject mediation
127	Reject plan, agreement to settle dispute
128	Defy norms, law
129	Veto
130	Threaten
131	Threaten non-force
1311	Threaten to reduce or stop aid
1312	Threaten to boycott, embargo, or sanction
1313	Threaten to reduce or break relations
132	Threaten with administrative sanctions
1321	Threaten to impose restrictions on freedoms of speech and expression
1322	Threaten to ban political parties or politicians
1323	Threaten to impose curfew
1324	Threaten to impose state of emergency or martial law
133	Threaten with political dissent, protest
134	Threaten to halt negotiations
135	Threaten to halt mediation
136	Threaten to halt (expel or withdraw) international involvement (non-mediation)
137	Threaten with violent repression
138	Threaten to use military force
1381	Threaten blockade
1382	Threaten occupation
1383	Threaten unconventional violence
1384	Threaten conventional attack
1385	Threaten attack with WMD
139	Give ultimatum
140	Engage in political dissent
141	Demonstrate or rally
1411	Demonstrate for leadership change
1412	Demonstrate for policy change
1413	Demonstrate for rights
1414	Demonstrate for change in institutions, regime
142	Conduct hunger strike
1421	Conduct hunger strike for leadership change
1422	Conduct hunger strike for policy change
1423	Conduct hunger strike for rights
1424	Conduct hunger strike for change in institutions, regime
143	Conduct strike or boycott
1431	Conduct strike or boycott for change in leadership
1432	Conduct strike or boycott for policy change
1433	Conduct strike or boycott for rights
1434	Conduct strike or boycott for change in institutions, regime
144	Obstruct passage, block
1441	Obstruct passage to demand change in leadership
1442	Obstruct passage to demand policy change
1443	Obstruct passage to demand rights
1444	Ostruct passage to demand change in institutions, regime
145	Protest violently, riot
1451	Engage in violent protest for change in leadership
1452	Engage in violent protest for policy change
1453	Engage in violent protest for rights
1454	Engage in violent protest for change in institutions, regime
150	Demonstrate military or police power
151	Increase police alert status
152	Increase military alert status
153	Mobilize or increase police power
154	Mobilize or increase armed forces
160	Reduce relations
161	Reduce or break diplomatic relations
162	Reduce or stop aid
1621	Reduce or stop economic assistance
1622	Reduce or stop military assistance
1623	Reduce or stop humanitarian assistance
163	Impose embargo, boycott, or sanctions
164	Halt negotiations
165	Halt mediation
166	Expel or withdraw
1661	Expel or withdraw peacekeepers
1662	Expel or withdraw inspectors, observers
1663	Expel or withdraw aid agencies
170	Coerce
171	Seize or damage property
1711	Confiscate property
1712	Destroy property
172	Impose administrative sanctions
1721	Impose restrictions on freedoms of speech and expression
1722	Ban political parties or politicians
1723	Impose curfew
1724	Impose state of emergency or martial law
173	Arrest, detain, or charge with legal action
174	Expel or deport individuals
175	Use violent repression
180	Use unconventional violence
181	Abduct, hijack
182	Physically assault
1821	Sexually assault
1822	Torture
1823	Kill by physical assault
183	Conduct suicide, car, or other non-military bombing
1831	Carry out suicide bombing
1832	Carry out car bombing
1833	Carry out roadside bombing
184	Use as human shield
185	Attempt to assassinate
186	Assassinate
190	Use conventional military force
191	Impose blockade, restrict movement
192	Occupy territory
193	Fight with small arms and light weapons
194	Fight with artillery and tanks
195	Employ aerial weapons
196	Violate ceasefire
200	Use unconventional mass violence
201	Engage in mass expulsion
202	Engage in mass killings
203	Engage in ethnic cleansing
204	Use weapons of mass destruction
2041	Use chemical, biological, or radiological weapons
2042	Detonate nuclear weapons
